genre_id,name
1,Action & Adventure
2,Anime Features
3,Anime Series
4,British TV Shows
5,Children & Family Movies
6,Classic & Cult TV
7,Classic Movies
8,Comedies
9,Crime TV Shows
10,Cult Movies
11,Documentaries
12,Docuseries
13,Dramas
14,Faith & Spirituality
15,Horror Movies
16,Independent Movies
17,International Movies
18,International TV Shows
19,Kids' TV
20,Korean TV Shows
21,LGBTQ Movies
22,Movies
23,Music & Musicals
24,Reality TV
25,Romantic Movies
26,Romantic TV Shows
27,Sci-Fi & Fantasy
28,Science & Nature TV
29,Spanish-Language TV Shows
30,Sports Movies
31,Stand-Up Comedy
32,Stand-Up Comedy & Talk Shows
33,TV Action & Adventure
34,TV Comedies
35,TV Dramas
36,TV Horror
37,TV Mysteries
38,TV Sci-Fi & Fantasy
39,TV Shows
40,TV Thrillers
41,Teen TV Shows
42,Thrillers
